"Date","Location","City","Region","Title","Amount","Department","Views","Trans_details"
"October 31, 2015","Gorakhpur                       , Uttar Pradesh","Gorakhpur","Uttar Pradesh","I Paid Rs. 100 to Customs, Excise and Service Tax in Gorakhpur.",100,"Customs, Excise and Service Tax",98,"Customs Check and Clearance"
"October 31, 2015","Bareilly                       , Uttar Pradesh","Bareilly","Uttar Pradesh","I Paid Rs. 10000 to Municipal Services in Bareilly.",10000,"Municipal Services",90,"Birth Certificate"
"October 31, 2015","Abohar                       , Punjab","Abohar","Punjab","I Paid Rs. 100 to Transport in Abohar.",100,"Transport",100,"Duplicate Registration Certificate"
"October 31, 2015","New Delhi                       , Delhi","New Delhi","Delhi","I Paid Rs. 100 to Police in New Delhi.",100,"Police",82,"Traffic Violations"
"October 31, 2015","Adari                       , Uttar Pradesh","Adari","Uttar Pradesh","I Paid Rs. 210 to Municipal Services in Adari.",210,"Municipal Services",72,"Birth Certificate"
"October 31, 2015","Chennai                       , Tamil Nadu","Chennai","Tamil Nadu","I Paid Rs. 100 to Food, Civil Supplies and Consumer Affairs in Chennai.",100,"Food, Civil Supplies and Consumer Affairs",77,"Issue of Ration Card"
"October 31, 2015","Nagpur                       , Maharashtra","Nagpur","Maharashtra","I Paid Rs. 40 to Municipal Services in Nagpur.",40,"Municipal Services",70,"Birth Certificate"
"October 31, 2015","Hyderabad                       , Telangana","Hyderabad","Telangana","I Paid Rs. 10000 to Others in Hyderabad.",10000,"Others",68,"Others"
"October 31, 2015","Akola                       , Madhya Pradesh","Akola","Madhya Pradesh","I Paid Rs. 100 to Police in Akola.",100,"Police",67,"Traffic Violations"
"October 31, 2015","Barabanki                       , Uttar Pradesh","Barabanki","Uttar Pradesh","I Paid Rs. 1 to Income Tax in Barabanki.",1,"Income Tax",66,"New PAN Card"
"October 31, 2015","Abhayapuri                       , Assam","Abhayapuri","Assam","I Paid Rs. 10 to Commercial Tax, Sales Tax, VAT in Abhayapuri.",10,"Commercial Tax, Sales Tax, VAT",64,"C Form"
"October 31, 2015","Akola                       , Madhya Pradesh","Akola","Madhya Pradesh","I Paid Rs. 25 to Municipal Services in Akola.",25,"Municipal Services",56,"Birth Certificate"
"October 31, 2015","Pune                       , Maharashtra","Pune","Maharashtra","I Paid Rs. 5000 to Stamps and Registration in Pune.",5000,"Stamps and Registration",103,"Registration of Flat or Apartment"
"October 31, 2015","Bhubaneswar                       , Orissa","Bhubaneswar","Orissa","I Paid Rs. 1 to Municipal Services in Bhubaneswar.",1,"Municipal Services",58,"Birth Certificate"
"October 31, 2015","New Delhi                       , Delhi","New Delhi","Delhi","No way of getting out of this :(",10000,"Commercial Tax, Sales Tax, VAT",101,"VAT Registration"
"October 31, 2015","Abhayapuri                       , Assam","Abhayapuri","Assam","I Paid Rs. 100 to Municipal Services in Abhayapuri.",100,"Municipal Services",84,"Birth Certificate"
"October 31, 2015","Abhayapuri                       , Assam","Abhayapuri","Assam","I Paid Rs. 450 to Municipal Services in Abhayapuri.",450,"Municipal Services",76,"Birth Certificate"
"October 31, 2015","Madurai                       , Tamil Nadu","Madurai","Tamil Nadu","I Paid Rs. 10 to Income Tax in Madurai.",10,"Income Tax",85,"New PAN Card"
"October 30, 2015","Kozhikode                       , Kerala","Kozhikode","Kerala","I Paid Rs. 15 to Others in Kozhikode.",15,"Others",113,"Others"
"October 30, 2015","Gorakhpur                       , Uttar Pradesh","Gorakhpur","Uttar Pradesh","I Paid Rs. 200 to Municipal Services in Gorakhpur.",200,"Municipal Services",107,"Birth Certificate"
"October 30, 2015","Achhnera                       , Uttar Pradesh","Achhnera","Uttar Pradesh","I Paid Rs. 300 to Municipal Services in Achhnera.",300,"Municipal Services",119,"Birth Certificate"
