"Date","Location","City","Region","Title","Amount","Department","Views","Trans_details"
"October 12, 2015","Indore                       , Madhya Pradesh","Indore","Madhya Pradesh","I Paid Rs. 610 to Food, Civil Supplies and Consumer Affairs in Indore.",610,"Food, Civil Supplies and Consumer Affairs",19,"Issue of Ration Card"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 5500 to Stamps and Registration in Bangalore.",5500,"Stamps and Registration",30,"Marriage Certificate"
"October 12, 2015","Mumbai                       , Maharashtra","Mumbai","Maharashtra","I Paid Rs. 6000 to Commercial Tax, Sales Tax, VAT in Mumbai.",6000,"Commercial Tax, Sales Tax, VAT",94,"C Form"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 5000 to Transport in Bangalore.",5000,"Transport",52,"New Domestic Driving License"
"October 12, 2015","Agra                       , Uttar Pradesh","Agra","Uttar Pradesh","I Paid Rs. 1000 to Municipal Services in Agra.",1000,"Municipal Services",34,"Birth Certificate"
"October 12, 2015","Indore                       , Madhya Pradesh","Indore","Madhya Pradesh","I Paid Rs. 1500 to Food, Civil Supplies and Consumer Affairs in Indore.",1500,"Food, Civil Supplies and Consumer Affairs",20,"Issue of Ration Card"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 500 to Food, Civil Supplies and Consumer Affairs in Bangalore.",500,"Food, Civil Supplies and Consumer Affairs",19,"Issue of Ration Card"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 5000 to Stamps and Registration in Bangalore.",5000,"Stamps and Registration",27,"Marriage Certificate"
"October 12, 2015","Indore                       , Madhya Pradesh","Indore","Madhya Pradesh","I Paid Rs. 1200 to Food, Civil Supplies and Consumer Affairs in Indore.",1200,"Food, Civil Supplies and Consumer Affairs",21,"Issue of Ration Card"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 5200 to Municipal Services in Bangalore.",5200,"Municipal Services",21,"Birth Certificate"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 25000 to Police in Bangalore.",25000,"Police",49,"Filing FIR"
"October 12, 2015","Agra                       , Uttar Pradesh","Agra","Uttar Pradesh","I Paid Rs. 1800 to Municipal Services in Agra.",1800,"Municipal Services",38,"Birth Certificate"
"October 12, 2015","Indore                       , Madhya Pradesh","Indore","Madhya Pradesh","I Paid Rs. 4000 to Food, Civil Supplies and Consumer Affairs in Indore.",4000,"Food, Civil Supplies and Consumer Affairs",23,"Issue of Ration Card"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 2500 to Food, Civil Supplies and Consumer Affairs in Bangalore.",2500,"Food, Civil Supplies and Consumer Affairs",23,"Issue of Ration Card"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 2500 to Transport in Bangalore.",2500,"Transport",61,"Duplicate Registration Certificate"
"October 12, 2015","Agra                       , Uttar Pradesh","Agra","Uttar Pradesh","I Paid Rs. 2400 to Municipal Services in Agra.",2400,"Municipal Services",32,"Birth Certificate"
"October 12, 2015","Indore                       , Madhya Pradesh","Indore","Madhya Pradesh","I Paid Rs. 3000 to Food, Civil Supplies and Consumer Affairs in Indore.",3000,"Food, Civil Supplies and Consumer Affairs",26,"Issue of Ration Card"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 3500 to Municipal Services in Bangalore.",3500,"Municipal Services",28,"Birth Certificate"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 5800 to Customs, Excise and Service Tax in Bangalore.",5800,"Customs, Excise and Service Tax",111,"Customs Check and Clearance"
"October 12, 2015","Agra                       , Uttar Pradesh","Agra","Uttar Pradesh","I Paid Rs. 2610 to Municipal Services in Agra.",2610,"Municipal Services",24,"Birth Certificate"
"October 12, 2015","Indore                       , Madhya Pradesh","Indore","Madhya Pradesh","I Paid Rs. 2000 to Food, Civil Supplies and Consumer Affairs in Indore.",2000,"Food, Civil Supplies and Consumer Affairs",23,"Issue of Ration Card"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 4500 to Transport in Bangalore.",4500,"Transport",60,"New Domestic Driving License"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 5000 to Commercial Tax, Sales Tax, VAT in Bangalore.",5000,"Commercial Tax, Sales Tax, VAT",78,"C Form"
"October 12, 2015","Agra                       , Uttar Pradesh","Agra","Uttar Pradesh","I Paid Rs. 3610 to Municipal Services in Agra.",3610,"Municipal Services",29,"Birth Certificate"
"October 12, 2015","Indore                       , Madhya Pradesh","Indore","Madhya Pradesh","I Paid Rs. 1000 to Food, Civil Supplies and Consumer Affairs in Indore.",1000,"Food, Civil Supplies and Consumer Affairs",21,"Issue of Ration Card"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 2500 to Transport in Bangalore.",2500,"Transport",34,"Duplicate Registration Certificate"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 45000 to Stamps and Registration in Bangalore.",45000,"Stamps and Registration",34,"Registration of Flat or Apartment"
"October 12, 2015","Indore                       , Madhya Pradesh","Indore","Madhya Pradesh","I Paid Rs. 1800 to Food, Civil Supplies and Consumer Affairs in Indore.",1800,"Food, Civil Supplies and Consumer Affairs",23,"Issue of Ration Card"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 5600 to Stamps and Registration in Bangalore.",5600,"Stamps and Registration",29,"Registration of Property"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 5500 to Police in Bangalore.",5500,"Police",43,"Traffic Violations"
"October 12, 2015","Indore                       , Madhya Pradesh","Indore","Madhya Pradesh","I Paid Rs. 2400 to Food, Civil Supplies and Consumer Affairs in Indore.",2400,"Food, Civil Supplies and Consumer Affairs",25,"Issue of Ration Card"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 3200 to Transport in Bangalore.",3200,"Transport",39,"New Domestic Driving License"
"October 12, 2015","New Delhi                       , Delhi","New Delhi","Delhi","I Paid Rs. 9000 to Commercial Tax, Sales Tax, VAT in New Delhi.",9000,"Commercial Tax, Sales Tax, VAT",102,"C Form"
"October 12, 2015","Indore                       , Madhya Pradesh","Indore","Madhya Pradesh","I Paid Rs. 2610 to Food, Civil Supplies and Consumer Affairs in Indore.",2610,"Food, Civil Supplies and Consumer Affairs",22,"Issue of Ration Card"
"October 12, 2015","Indore                       , Madhya Pradesh","Indore","Madhya Pradesh","I Paid Rs. 3610 to Food, Civil Supplies and Consumer Affairs in Indore.",3610,"Food, Civil Supplies and Consumer Affairs",21,"Issue of Ration Card"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 2500 to Police in Bangalore.",2500,"Police",39,"Police Verification for Passport"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 5200 to Transport in Bangalore.",5200,"Transport",34,"Duplicate Registration Certificate"
"October 12, 2015","Indore                       , Madhya Pradesh","Indore","Madhya Pradesh","I Paid Rs. 800 to Food, Civil Supplies and Consumer Affairs in Indore.",800,"Food, Civil Supplies and Consumer Affairs",24,"Issue of Ration Card"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 650 to Food, Civil Supplies and Consumer Affairs in Bangalore.",650,"Food, Civil Supplies and Consumer Affairs",20,"Issue of Ration Card"
"October 12, 2015","Indore                       , Madhya Pradesh","Indore","Madhya Pradesh","I Paid Rs. 1200 to Food, Civil Supplies and Consumer Affairs in Indore.",1200,"Food, Civil Supplies and Consumer Affairs",21,"Issue of Ration Card"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 3000 to Municipal Services in Bangalore.",3000,"Municipal Services",22,"Birth Certificate"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 5600 to Stamps and Registration in Bangalore.",5600,"Stamps and Registration",33,"Marriage Certificate"
"October 12, 2015","Indore                       , Madhya Pradesh","Indore","Madhya Pradesh","I Paid Rs. 3200 to Food, Civil Supplies and Consumer Affairs in Indore.",3200,"Food, Civil Supplies and Consumer Affairs",23,"Issue of Ration Card"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 25000 to Police in Bangalore.",25000,"Police",40,"Filing FIR"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 6000 to Stamps and Registration in Bangalore.",6000,"Stamps and Registration",31,"Marriage Certificate"
"October 12, 2015","Indore                       , Madhya Pradesh","Indore","Madhya Pradesh","I Paid Rs. 4000 to Food, Civil Supplies and Consumer Affairs in Indore.",4000,"Food, Civil Supplies and Consumer Affairs",20,"Issue of Ration Card"
"October 12, 2015","Agra                       , Uttar Pradesh","Agra","Uttar Pradesh","I Paid Rs. 2500 to Municipal Services in Agra.",2500,"Municipal Services",26,"Birth Certificate"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 2500 to Transport in Bangalore.",2500,"Transport",32,"New Domestic Driving License"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 60000 to Customs, Excise and Service Tax in Bangalore.",60000,"Customs, Excise and Service Tax",101,"Customs Check and Clearance"
"October 12, 2015","Indore                       , Madhya Pradesh","Indore","Madhya Pradesh","I Paid Rs. 1500 to Food, Civil Supplies and Consumer Affairs in Indore.",1500,"Food, Civil Supplies and Consumer Affairs",17,"Issue of Ration Card"
"October 12, 2015","Aligarh                       , Uttar Pradesh","Aligarh","Uttar Pradesh","I Paid Rs. 2000 to Municipal Services in Aligarh.",2000,"Municipal Services",60,"Birth Certificate"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 5000 to Stamps and Registration in Bangalore.",5000,"Stamps and Registration",29,"Marriage Certificate"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 15000 to Customs, Excise and Service Tax in Bangalore.",15000,"Customs, Excise and Service Tax",72,"Customs Check and Clearance"
"October 12, 2015","Chennai                       , Tamil Nadu","Chennai","Tamil Nadu","I Paid Rs. 9000 to Passport in Chennai.",9000,"Passport",260,"Police Verification for Passport"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 520 to Food, Civil Supplies and Consumer Affairs in Bangalore.",520,"Food, Civil Supplies and Consumer Affairs",15,"Issue of Ration Card"
"October 12, 2015","Indore                       , Madhya Pradesh","Indore","Madhya Pradesh","I Paid Rs. 3000 to Food, Civil Supplies and Consumer Affairs in Indore.",3000,"Food, Civil Supplies and Consumer Affairs",17,"Issue of Ration Card"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 2000 to Passport in Bangalore.",2000,"Passport",173,"Passport Delivery"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 2500 to Passport in Bangalore.",2500,"Passport",118,"Police Verification for Passport"
"October 12, 2015","Indore                       , Madhya Pradesh","Indore","Madhya Pradesh","I Paid Rs. 2500 to Food, Civil Supplies and Consumer Affairs in Indore.",2500,"Food, Civil Supplies and Consumer Affairs",17,"Issue of Ration Card"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 25000 to Stamps and Registration in Bangalore.",25000,"Stamps and Registration",28,"Registration of Property"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 2500 to Transport in Bangalore.",2500,"Transport",43,"Registration of Vehicle"
"October 12, 2015","Indore                       , Madhya Pradesh","Indore","Madhya Pradesh","I Paid Rs. 2000 to Food, Civil Supplies and Consumer Affairs in Indore.",2000,"Food, Civil Supplies and Consumer Affairs",17,"Issue of Ration Card"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 15000 to Police in Bangalore.",15000,"Police",36,"Filing FIR"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 2500 to Police in Bangalore.",2500,"Police",32,"Traffic Violations"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 25000 to Police in Bangalore.",25000,"Police",31,"Police Harassment"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 1500 to Passport in Bangalore.",1500,"Passport",75,"Passport Delivery"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 500 to Income Tax in Bangalore.",500,"Income Tax",49,"New PAN Card"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 1500 to Passport in Bangalore.",1500,"Passport",61,"Passport Delivery"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 2500 to Transport in Bangalore.",2500,"Transport",37,"New Domestic Driving License"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 1000 to Stamps and Registration in Bangalore.",1000,"Stamps and Registration",27,"Marriage Certificate"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 500 to Food, Civil Supplies and Consumer Affairs in Bangalore.",500,"Food, Civil Supplies and Consumer Affairs",19,"Issue of Ration Card"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 15000 to Police in Bangalore.",15000,"Police",30,"Filing FIR"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 2000 to Transport in Bangalore.",2000,"Transport",45,"Duplicate Registration Certificate"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 2500 to Customs, Excise and Service Tax in Bangalore.",2500,"Customs, Excise and Service Tax",45,"Customs Check and Clearance"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 1500 to Commercial Tax, Sales Tax, VAT in Bangalore.",1500,"Commercial Tax, Sales Tax, VAT",51,"C Form"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 5000 to Commercial Tax, Sales Tax, VAT in Bangalore.",5000,"Commercial Tax, Sales Tax, VAT",51,"C Form"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 2000 to Municipal Services in Bangalore.",2000,"Municipal Services",23,"Birth Certificate"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 2500 to Transport in Bangalore.",2500,"Transport",47,"Registration of Vehicle"
"October 12, 2015","Abhayapuri                       , Assam","Abhayapuri","Assam","I Paid Rs. 600 to Food, Civil Supplies and Consumer Affairs in Abhayapuri.",600,"Food, Civil Supplies and Consumer Affairs",77,"Issue of Ration Card"
"October 12, 2015","Abhayapuri                       , Assam","Abhayapuri","Assam","I Paid Rs. 424 to Commercial Tax, Sales Tax, VAT in Abhayapuri.",424,"Commercial Tax, Sales Tax, VAT",80,"C Form"
"October 12, 2015","Adityapur                       , Jharkhand","Adityapur","Jharkhand","I Paid Rs. 15000 to Passport in Adityapur.",15000,"Passport",93,"Passport Delivery"
"October 12, 2015","Aligarh                       , Uttar Pradesh","Aligarh","Uttar Pradesh","I Paid Rs. 2500 to Police in Aligarh.",2500,"Police",61,"Police Verification for Passport"
"October 12, 2015","Abhayapuri                       , Assam","Abhayapuri","Assam","I Paid Rs. 1500 to Transport in Abhayapuri.",1500,"Transport",74,"New Domestic Driving License"
"October 12, 2015","Allahabad                       , Uttar Pradesh","Allahabad","Uttar Pradesh","I Paid Rs. 10000 to Stamps and Registration in Allahabad.",10000,"Stamps and Registration",55,"Registration of Property"
"October 12, 2015","Adari                       , Uttar Pradesh","Adari","Uttar Pradesh","I Paid Rs. 550 to Income Tax in Adari.",550,"Income Tax",91,"New PAN Card"
"October 12, 2015","Arwal                       , Bihar","Arwal","Bihar","I Paid Rs. 2000 to Transport in Arwal.",2000,"Transport",41,"New Domestic Driving License"
"October 12, 2015","Alleppey                       , Kerala","Alleppey","Kerala","I Paid Rs. 500 to Stamps and Registration in Alleppey.",500,"Stamps and Registration",50,"Marriage Certificate"
"October 12, 2015","Ahmadnagar                       , Maharashtra","Ahmadnagar","Maharashtra","I Paid Rs. 500 to Food, Civil Supplies and Consumer Affairs in Ahmadnagar.",500,"Food, Civil Supplies and Consumer Affairs",50,"Issue of Ration Card"
"October 12, 2015","Abohar                       , Punjab","Abohar","Punjab","I Paid Rs. 1500 to Commercial Tax, Sales Tax, VAT in Abohar.",1500,"Commercial Tax, Sales Tax, VAT",94,"C Form"
"October 12, 2015","Adoni                       , Andhra Pradesh","Adoni","Andhra Pradesh","I Paid Rs. 15000 to Police in Adoni.",15000,"Police",65,"Filing FIR"
"October 12, 2015","Ahmedabad                       , Gujarat","Ahmedabad","Gujarat","I Paid Rs. 2500 to Municipal Services in Ahmedabad.",2500,"Municipal Services",72,"Birth Certificate"
"October 12, 2015","Hyderabad                       , Telangana","Hyderabad","Telangana","I Paid Rs. 2500 to Passport in Hyderabad.",2500,"Passport",83,"Passport Delivery"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 800 to Municipal Services in Bangalore.",800,"Municipal Services",36,"Birth Certificate"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 500 to Customs, Excise and Service Tax in Bangalore.",500,"Customs, Excise and Service Tax",50,"Customs Check and Clearance"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 800 to Passport in Bangalore.",800,"Passport",65,"Police Verification for Passport"
"October 12, 2015","Vadodara                       , Gujarat","Vadodara","Gujarat","I Paid Rs. 10000 to Municipal Services in Vadodara.",10000,"Municipal Services",61,"Birth Certificate"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 500 to Customs, Excise and Service Tax in Bangalore.",500,"Customs, Excise and Service Tax",58,"Customs Check and Clearance"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 500 to Customs, Excise and Service Tax in Bangalore.",500,"Customs, Excise and Service Tax",56,"Customs Check and Clearance"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 1200 to Police in Bangalore.",1200,"Police",60,"Filing FIR"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 800 to Income Tax in Bangalore.",800,"Income Tax",50,"New PAN Card"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 500 to Transport in Bangalore.",500,"Transport",63,"Duplicate Registration Certificate"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 500 to Customs, Excise and Service Tax in Bangalore.",500,"Customs, Excise and Service Tax",51,"Customs Check and Clearance"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 800 to Transport in Bangalore.",800,"Transport",70,"Duplicate Registration Certificate"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 500 to Food, Civil Supplies and Consumer Affairs in Bangalore.",500,"Food, Civil Supplies and Consumer Affairs",35,"Issue of Ration Card"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 500 to Customs, Excise and Service Tax in Bangalore.",500,"Customs, Excise and Service Tax",40,"Customs Check and Clearance"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 800 to Police in Bangalore.",800,"Police",47,"Police Verification for Passport"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 500 to Commercial Tax, Sales Tax, VAT in Bangalore.",500,"Commercial Tax, Sales Tax, VAT",36,"C Form"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 500 to Customs, Excise and Service Tax in Bangalore.",500,"Customs, Excise and Service Tax",40,"Customs Check and Clearance"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 500 to Food, Civil Supplies and Consumer Affairs in Bangalore.",500,"Food, Civil Supplies and Consumer Affairs",31,"Issue of Ration Card"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 900 to Stamps and Registration in Bangalore.",900,"Stamps and Registration",51,"Registration of Flat or Apartment"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 500 to Transport in Bangalore.",500,"Transport",49,"Duplicate Registration Certificate"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 500 to Commercial Tax, Sales Tax, VAT in Bangalore.",500,"Commercial Tax, Sales Tax, VAT",33,"C Form"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 800 to Customs, Excise and Service Tax in Bangalore.",800,"Customs, Excise and Service Tax",29,"Customs Check and Clearance"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 500 to Customs, Excise and Service Tax in Bangalore.",500,"Customs, Excise and Service Tax",30,"Customs Check and Clearance"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 500 to Commercial Tax, Sales Tax, VAT in Bangalore.",500,"Commercial Tax, Sales Tax, VAT",37,"C Form"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 800 to Police in Bangalore.",800,"Police",48,"Police Harassment"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 500 to Police in Bangalore.",500,"Police",34,"Filing FIR"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 800 to Police in Bangalore.",800,"Police",31,"Police Harassment"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 500 to Commercial Tax, Sales Tax, VAT in Bangalore.",500,"Commercial Tax, Sales Tax, VAT",30,"C Form"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 500 to Transport in Bangalore.",500,"Transport",41,"New Domestic Driving License"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 800 to Passport in Bangalore.",800,"Passport",65,"New Passport Application"
"October 12, 2015","Puri                       , Orissa","Puri","Orissa","I Paid Rs. 436 to Transport in Puri.",436,"Transport",46,"Registration of Vehicle"
"October 12, 2015","Pedana                       , Andhra Pradesh","Pedana","Andhra Pradesh","I Paid Rs. 384 to Police in Pedana.",384,"Police",36,"Traffic Violations"
"October 12, 2015","Murliganj                       , Bihar","Murliganj","Bihar","I Paid Rs. 294 to Police in Murliganj.",294,"Police",35,"Filing FIR"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 500 to Municipal Services in Bangalore.",500,"Municipal Services",32,"Birth Certificate"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 500 to Stamps and Registration in Bangalore.",500,"Stamps and Registration",43,"Marriage Certificate"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 800 to Police in Bangalore.",800,"Police",36,"Police Harassment"
"October 12, 2015","Madhepura                       , Bihar","Madhepura","Bihar","I Paid Rs. 432 to Police in Madhepura.",432,"Police",35,"Filing FIR"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 500 to Municipal Services in Bangalore.",500,"Municipal Services",29,"Birth Certificate"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 800 to Passport in Bangalore.",800,"Passport",40,"New Passport Application"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 800 to Police in Bangalore.",800,"Police",32,"Police Harassment"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 500 to Commercial Tax, Sales Tax, VAT in Bangalore.",500,"Commercial Tax, Sales Tax, VAT",32,"C Form"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 1200 to Police in Bangalore.",1200,"Police",26,"Traffic Violations"
"October 12, 2015","Raurkela                       , Orissa","Raurkela","Orissa","I Paid Rs. 936 to Stamps and Registration in Raurkela.",936,"Stamps and Registration",42,"Registration of Property"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 20000 to Transport in Bangalore.",20000,"Transport",33,"Registration of Vehicle"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 500 to Customs, Excise and Service Tax in Bangalore.",500,"Customs, Excise and Service Tax",34,"Customs Check and Clearance"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 500 to Commercial Tax, Sales Tax, VAT in Bangalore.",500,"Commercial Tax, Sales Tax, VAT",30,"C Form"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 800 to Police in Bangalore.",800,"Police",27,"Filing FIR"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 1500 to Transport in Bangalore.",1500,"Transport",32,"Registration of Vehicle"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 1400 to Stamps and Registration in Bangalore.",1400,"Stamps and Registration",32,"Registration of Property"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 500 to Customs, Excise and Service Tax in Bangalore.",500,"Customs, Excise and Service Tax",31,"Customs Check and Clearance"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 800 to Transport in Bangalore.",800,"Transport",26,"Duplicate Registration Certificate"
"October 12, 2015","Pithapuram                       , Andhra Pradesh","Pithapuram","Andhra Pradesh","I Paid Rs. 219 to Food, Civil Supplies and Consumer Affairs in Pithapuram.",219,"Food, Civil Supplies and Consumer Affairs",37,"Issue of Ration Card"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 800 to Food, Civil Supplies and Consumer Affairs in Bangalore.",800,"Food, Civil Supplies and Consumer Affairs",21,"Issue of Ration Card"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 500 to Customs, Excise and Service Tax in Bangalore.",500,"Customs, Excise and Service Tax",29,"Customs Check and Clearance"
"October 12, 2015","Muzaffarpur                       , Bihar","Muzaffarpur","Bihar","I Paid Rs. 432 to Police in Muzaffarpur.",432,"Police",34,"Filing FIR"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 500 to Municipal Services in Bangalore.",500,"Municipal Services",29,"Birth Certificate"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 2000 to Passport in Bangalore.",2000,"Passport",35,"Passport Delivery"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 800 to Police in Bangalore.",800,"Police",27,"Police Harassment"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 1500 to Police in Bangalore.",1500,"Police",26,"Police Harassment"
"October 12, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 500 to Commercial Tax, Sales Tax, VAT in Bangalore.",500,"Commercial Tax, Sales Tax, VAT",31,"C Form"
